Customer ID,Name,Surname,Gender,Age,Region,Job,Balance,
100001320,Jane,King,Female,38,England,White Collar,12,
400000075,Olivia,Dowd,Female,30,Northern Ireland,White Collar,21,
200000775,Warren,Roberts,Male,37,Scotland,Blue Collar,69,
400002046,Megan,Hart,Female,19,Northern Ireland,Blue Collar,70,
300003468,Stewart,Johnston,Male,41,Wales,Blue Collar,77,
300003497,Rebecca,Howard,Female,30,Wales,Blue Collar,96,
100003885,Abigail,Mills,Female,29,England,White Collar,99,
100001419,Lillian,Mathis,Female,43,England,White Collar,115,
400002278,Pippa,Ball,Female,33,Northern Ireland,Other,134,
100002735,Chloe,Gill,Female,27,England,Blue Collar,135,
100000297,Sophie,Thomson,Female,33,England,White Collar,153,
100003882,Lauren,Slater,Female,35,England,Blue Collar,168,
200003843,Colin,Mackenzie,Male,39,Scotland,Blue Collar,177,
200004013,Christian,Reid,Male,51,Scotland,Blue Collar,239,
200001282,Matt,Watson,Male,44,Scotland,White Collar,242,
100000080,David,Peters,Male,34,England,White Collar,245,
100003558,Sam,Poole,Male,34,England,White Collar,252,
100002750,Carl,Fisher,Male,38,England,White Collar,267,
100003397,Bella,Ellison,Female,30,England,White Collar,279,
100000378,Harry,Manning,Male,18,England,White Collar,311,
100003236,Lily,Grant,Female,37,England,Other,339,
200003937,Jake,Fisher,Male,49,Scotland,Blue Collar,343,
400000654,Simon,Lawrence,Male,25,Northern Ireland,Other,354,
100002169,Ruth,Hudson,Female,27,England,White Collar,362,
100002468,Robert,Mills,Male,42,England,White Collar,369,
200000535,Ryan,Marshall,Male,46,Scotland,Blue Collar,400,
300000687,Tim,Vance,Male,36,Wales,Other,401,
200003425,Rachel,Allan,Female,33,Scotland,White Collar,423,
200003298,Sonia,Cameron,Female,53,Scotland,Other,466,
100003919,Michael,Coleman,Male,33,England,Blue Collar,615,
100003498,Nicola,King,Female,36,England,White Collar,625,
100003002,Tim,Forsyth,Male,23,England,White Collar,641,
200003859,Jonathan,Cornish,Male,33,Scotland,White Collar,655,
200002519,Colin,Randall,Male,52,Scotland,Blue Collar,675,
100003314,Alexander,Newman,Male,32,England,Other,678,
200003899,Liam,Duncan,Male,53,Scotland,Blue Collar,681,
100001908,Simon,Marshall,Male,33,England,White Collar,683,
200002501,Warren,Ferguson,Male,59,Scotland,Blue Collar,691,
100002932,Lisa,Morgan,Female,32,England,Other,699,
200002499,Alexander,May,Male,32,Scotland,Blue Collar,701,
100001211,Madeleine,Manning,Female,40,England,White Collar,705,
100000280,Stephanie,Ogden,Female,31,England,Other,717,
200003861,Eric,Hamilton,Male,56,Scotland,Blue Collar,740,
400000431,Jan,Avery,Female,29,Northern Ireland,White Collar,743,
300000768,Tracey,Clark,Female,39,Wales,Other,747,
100002460,John,Clarkson,Male,22,England,White Collar,782,
200000751,Brian,Bond,Male,22,Scotland,Blue Collar,837,
100002197,Sebastian,Churchill,Male,18,England,White Collar,841,
200002293,Jacob,Mackay,Male,49,Scotland,Blue Collar,875,
200001624,Isaac,Walsh,Male,51,Scotland,Other,880,
400002382,Audrey,Knox,Female,24,Northern Ireland,Other,900,
100003712,Amelia,Arnold,Female,41,England,White Collar,917,
100000760,Keith,Walker,Male,40,England,White Collar,919,
100001225,Connor,McLean,Male,34,England,White Collar,919,
100002121,Nathan,Miller,Male,44,England,White Collar,919,
200000503,Warren,Lyman,Male,51,Scotland,Blue Collar,920,
100003505,Brandon,Butler,Male,31,England,White Collar,920,
100002110,Thomas,Newman,Male,33,England,Other,921,
100000678,Victoria,Thomson,Female,25,England,White Collar,926,
100002424,Wendy,Clarkson,Female,41,England,Blue Collar,964,
400000720,William,Grant,Male,26,Northern Ireland,White Collar,989,
100001667,Bernadette,Piper,Female,56,England,White Collar,997,
100000158,Michael,Powell,Male,26,England,White Collar,1010,
200003582,Tim,Stewart,Male,49,Scotland,Blue Collar,1019,
200003844,Penelope,Langdon,Female,42,Scotland,Other,1063,
100000841,Donna,Davidson,Female,42,England,Other,1081,
300001465,Lily,Hart,Female,34,Wales,White Collar,1091,
200001043,Steven,Newman,Male,49,Scotland,Blue Collar,1096,
300002670,Dylan,Murray,Male,42,Wales,White Collar,1154,
100001394,Ella,Knox,Female,31,England,Other,1174,
200001402,Stewart,Roberts,Male,48,Scotland,Blue Collar,1208,
200000191,Jason,Fisher,Male,51,Scotland,Blue Collar,1240,
200001403,Adam,Martin,Male,39,Scotland,Blue Collar,1256,
300000467,Angela,Morrison,Female,20,Wales,Other,1291,
100002097,Zoe,Cornish,Female,45,England,White Collar,1321,
100001293,Amy,Avery,Female,31,England,White Collar,1330,
200000911,Julian,Hunter,Male,48,Scotland,Other,1341,
200001404,Warren,Underwood,Male,32,Scotland,Other,1362,
100001771,Trevor,Hughes,Male,27,England,White Collar,1387,
300001466,Jonathan,Clark,Male,34,Wales,Blue Collar,1400,
100000051,Sophie,Wilkins,Female,29,England,Blue Collar,1401,
200003403,Irene,Wilson,Female,61,Scotland,Blue Collar,1410,
300000004,Trevor,Parr,Male,32,Wales,White Collar,1422,
100001986,Ian,Terry,Male,41,England,White Collar,1424,
100001358,Edward,Parsons,Male,49,England,Other,1426,
100000098,Maria,Johnston,Female,36,England,White Collar,1431,
100001317,Jan,Russell,Female,29,England,Blue Collar,1434,
100003756,Lillian,Black,Female,45,England,White Collar,1439,
100003060,Theresa,Smith,Female,31,England,White Collar,1448,
100000155,Tim,Arnold,Male,33,England,Blue Collar,1456,
200003525,Blake,North,Male,54,Scotland,Blue Collar,1474,
300000340,Rebecca,Nash,Female,20,Wales,White Collar,1488,
100000318,Anna,MacLeod,Female,43,England,Blue Collar,1537,
200002484,Warren,Rutherford,Male,50,Scotland,Blue Collar,1567,
300002492,Maria,Wright,Female,36,Wales,White Collar,1577,
100002005,Deirdre,Nash,Female,49,England,White Collar,1603,
100001923,Carolyn,Johnston,Female,44,England,White Collar,1608,
300000814,James,Newman,Male,33,Wales,Other,1657,
200001160,Cameron,Quinn,Male,41,Scotland,Blue Collar,1684,
200001625,Sam,Fisher,Male,51,Scotland,Other,1753,
100000455,Eric,Henderson,Male,35,England,Blue Collar,1760,
100003149,Stephanie,Morrison,Female,38,England,White Collar,1768,
300000599,Victoria,Forsyth,Female,33,Wales,White Collar,1790,
100002609,Audrey,Hunter,Female,40,England,Other,1795,
300002714,Piers,Rutherford,Male,35,Wales,Blue Collar,1819,
100001092,Alexandra,Gill,Female,35,England,White Collar,1828,
100003040,Wanda,Blake,Female,29,England,Other,1834,
100001998,Amelia,Howard,Female,30,England,White Collar,1840,
200000438,Colin,Howard,Male,60,Scotland,White Collar,1860,
100000059,Phil,Randall,Male,39,England,Other,1880,
300002471,Kimberly,MacDonald,Female,44,Wales,Other,1884,
100003061,Ella,Rees,Female,25,England,Other,1890,
400002166,Molly,Kelly,Female,27,Northern Ireland,Blue Collar,1898,
400000419,Alison,Kerr,Female,25,Northern Ireland,Other,1905,
200001086,Luke,Scott,Male,47,Scotland,Blue Collar,1948,
100002578,Maria,Taylor,Female,40,England,White Collar,1949,
100000328,Megan,Tucker,Female,34,England,White Collar,2017,
100003515,Victor,Allan,Male,25,England,Blue Collar,2046,
100001474,Lily,Cornish,Female,23,England,Blue Collar,2093,
100003929,Benjamin,Arnold,Male,32,England,White Collar,2097,
100003347,Jake,Gibson,Male,24,England,White Collar,2112,
200000258,Owen,McGrath,Male,54,Scotland,Other,2113,
200003941,Joshua,Sutherland,Male,59,Scotland,Other,2115,
100000016,Nicholas,Newman,Male,42,England,White Collar,2117,
100002593,Emily,Allan,Female,35,England,White Collar,2120,
100002077,David,Harris,Male,25,England,White Collar,2127,
400003415,Amanda,Kerr,Female,19,Northern Ireland,Other,2184,
100000198,Tim,North,Male,29,England,White Collar,2299,
100002474,Chloe,Powell,Female,22,England,Blue Collar,2302,
200002144,Gavin,Davies,Male,50,Scotland,Blue Collar,2311,
100001196,Yvonne,Skinner,Female,37,England,White Collar,2317,
100000161,Diana,Powell,Female,42,England,White Collar,2337,
200000949,Dylan,Ellison,Male,50,Scotland,Other,2347,
200000726,Peter,Chapman,Male,43,Scotland,Other,2362,
100001446,Lucas,Paige,Male,36,England,White Collar,2385,
100000400,Jacob,Fisher,Male,35,England,White Collar,2423,
400000434,Penelope,Paterson,Female,27,Northern Ireland,Other,2437,
100000307,Adrian,Hill,Male,33,England,Blue Collar,2457,
100001415,Jessica,Howard,Female,30,England,White Collar,2467,
100001942,Joseph,Payne,Male,50,England,White Collar,2471,
100002914,Mary,Nolan,Female,33,England,Other,2471,
100003213,Max,Quinn,Male,45,England,White Collar,2480,
100001508,Owen,Vaughan,Male,27,England,White Collar,2505,
300000778,Christopher,McGrath,Male,28,Wales,Blue Collar,2511,
200001733,Zoe,Mills,Female,60,Scotland,Other,2527,
100001278,John,Marshall,Male,40,England,Blue Collar,2531,
100002674,Christopher,MacDonald,Male,40,England,White Collar,2560,
100001863,Zoe,Kerr,Female,36,England,White Collar,2567,
100000221,Sally,Arnold,Female,45,England,Blue Collar,2576,
200003821,Cameron,Parsons,Male,45,Scotland,Blue Collar,2584,
100002595,Wendy,Lee,Female,24,England,White Collar,2591,
100002509,Nicholas,Butler,Male,30,England,Blue Collar,2604,
100003111,Benjamin,Hughes,Male,33,England,Other,2609,
400001683,Felicity,Vance,Female,24,Northern Ireland,Other,2617,
100001036,Claire,Metcalfe,Female,40,England,White Collar,2620,
100003282,Edward,Ince,Male,43,England,White Collar,2620,
100002864,Faith,Murray,Female,30,England,White Collar,2634,
100003254,David,Poole,Male,38,England,White Collar,2639,
100003011,Sean,Butler,Male,41,England,White Collar,2665,
100000849,Lily,Gill,Female,25,England,White Collar,2703,
100002171,Andrew,Walker,Male,33,England,White Collar,2711,
100001797,Dylan,Randall,Male,44,England,White Collar,2717,
100001094,Amanda,Berry,Female,30,England,Other,2731,
100001758,Kimberly,Lewis,Female,47,England,White Collar,2741,
200001776,Frank,Buckland,Male,52,Scotland,Blue Collar,2794,
200001884,Sally,Turner,Female,44,Scotland,Other,2799,
400000450,Jake,Cornish,Male,39,Northern Ireland,Blue Collar,2839,
200003795,Richard,Mills,Male,48,Scotland,Blue Collar,2841,
100003850,Angela,Bond,Female,38,England,White Collar,2845,
300000015,Madeleine,Marshall,Female,36,Wales,Other,2846,
100002055,Pippa,Forsyth,Female,26,England,White Collar,2849,
300000550,Fiona,Young,Female,34,Wales,Blue Collar,2873,
100000045,Dorothy,Johnston,Female,53,England,Other,2893,
100002621,Evan,North,Male,43,England,Blue Collar,2966,
100001557,Boris,Anderson,Male,29,England,White Collar,2987,
200003897,Paul,Abraham,Male,48,Scotland,Blue Collar,2992,
200001936,Olivia,Payne,Female,49,Scotland,White Collar,2994,
300003724,Sebastian,White,Male,46,Wales,Blue Collar,3002,
100002528,Steven,Cameron,Male,34,England,White Collar,3015,
100003278,Rachel,Lambert,Female,21,England,White Collar,3038,
200003901,Paul,Ince,Male,45,Scotland,Blue Collar,3052,
100002185,Owen,Ross,Male,32,England,White Collar,3104,
100001134,Julia,Marshall,Female,36,England,White Collar,3109,
100000575,Michael,Davidson,Male,20,England,White Collar,3115,
100003066,Sue,Glover,Female,27,England,White Collar,3120,
100001915,Wanda,Cornish,Female,24,England,Other,3141,
100000197,Blake,Ross,Male,38,England,Blue Collar,3142,
300000439,Tim,Miller,Male,26,Wales,Blue Collar,3209,
100000991,Benjamin,Welch,Male,33,England,White Collar,3227,
200002333,Carl,Ellison,Male,50,Scotland,Blue Collar,3247,
100002019,Grace,May,Female,34,England,Blue Collar,3280,
100002808,Charles,Langdon,Male,37,England,Other,3287,
100000170,Natalie,Morrison,Female,32,England,Other,3291,
200003858,Ruth,Carr,Female,43,Scotland,Other,3297,
400002075,James,Welch,Male,27,Northern Ireland,White Collar,3332,
200001146,Irene,Davies,Female,46,Scotland,Other,3374,
100001583,David,Ince,Male,36,England,White Collar,3375,
200001407,Nicholas,James,Male,55,Scotland,Other,3397,
100000028,Alison,Fisher,Female,33,England,White Collar,3429,
100003173,Leonard,Gill,Male,39,England,Blue Collar,3437,
100002466,Virginia,Skinner,Female,27,England,Blue Collar,3471,
200001101,Eric,Parr,Male,56,Scotland,Blue Collar,3516,
100003737,Sean,Gray,Male,34,England,White Collar,3531,
300002537,Sean,Powell,Male,39,Wales,Other,3575,
200001215,Anthony,Metcalfe,Male,56,Scotland,Blue Collar,3579,
300001456,Dominic,Jackson,Male,40,Wales,White Collar,3616,
100003689,Ryan,Oliver,Male,36,England,White Collar,3629,
100003169,Dorothy,Vance,Female,35,England,Blue Collar,3674,
200003938,Robert,Bond,Male,48,Scotland,White Collar,3679,
100003829,Caroline,Skinner,Female,34,England,White Collar,3683,
100001724,Eric,Piper,Male,36,England,Blue Collar,3692,
200003661,Keith,Reid,Male,20,Scotland,Blue Collar,3716,
